COD_MAT  ;DESCRICAO MATERIAL            ;UND;QUA COM      ;QUA GENE     ;LOT MIN;PRECO A VISTA;VALOR FRETE  ;ENTREGA   ;ENTR/RETI ;COD FOR  ;NOME FORECEDOR                                    ;CNPJ                ;TELEFONE            ;VENDEDOR            ;E-MAIL              ;IPI ;ICMS;ENC FIN;COND PAGTO                                          ;M. PLAN
123151;ARRUELA DE FUNILEIRO LISA M8 (;MIL;0;3,108;1;357,32;0;43662;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;0;0;2;                                                    ;19626
120739;ARRUELA LISA M4 TRIVALENTE BRA;MIL;0;10,4;1;22,22;0;43669;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;10;0;2;                                                    ;19626
134856;ARRUELA LISA M4 TRIVALENTE BRA;MIL;0;10,4;1;0;0;43669;E         ;2699;JUNDIFIX                                          ;05.072.597/0001-01  ;( 011)  3379.5555   ;                    ;andreia@jundifix.com;10;0;2;                                                    ;19626
134857;ARRUELA LISA M4 TRIVALENTE BRA;MIL;0;10,4;1;0;0;43669;E         ;2859;DENARDO                                           ;58.402.777/0001-62  ;( 011)  2295.6433   ;                    ;correio@denardo.com.;10;0;2;                                                    ;19626
120740;ARRUELA LISA M6 TRIVALENTE BRA;MIL;0;1,66;1;46,66;0;43672;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;10;0;2;                                                    ;19626
134861;ARRUELA LISA M6 TRIVALENTE BRA;MIL;0;1,66;1;0;0;43672;E         ;2699;JUNDIFIX                                          ;05.072.597/0001-01  ;( 011)  3379.5555   ;                    ;andreia@jundifix.com;10;0;2;                                                    ;19626
134862;ARRUELA LISA M6 TRIVALENTE BRA;MIL;0;1,66;1;0;0;43672;E         ;2859;DENARDO                                           ;58.402.777/0001-62  ;( 011)  2295.6433   ;                    ;correio@denardo.com.;10;0;2;                                                    ;19626
110057;ARRUELA LISA M8 (8,4x16x1,5) T;MIL;0;1,702;1;55,83;0;43668;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;10;0;2;                                                    ;19626
134863;ARRUELA LISA M8 (8,4x16x1,5) T;MIL;0;1,702;1;0;0;43668;E         ;2699;JUNDIFIX                                          ;05.072.597/0001-01  ;( 011)  3379.5555   ;                    ;andreia@jundifix.com;10;0;2;                                                    ;19626
134864;ARRUELA LISA M8 (8,4x16x1,5) T;MIL;0;1,702;1;0;0;43668;E         ;2859;DENARDO                                           ;58.402.777/0001-62  ;( 011)  2295.6433   ;                    ;correio@denardo.com.;10;0;2;                                                    ;19626
131936;PARAF M4 X 12,0 CAB PANELA PHI;MIL;1,47;0;10;59,56;0;43662;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;0;0;2;                                                    ;19626
117362;PARAF SEXT C/ FLANG ?14mm M4X1;UN ;1412;0;1;0,11;0;43662;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;0;0;2;                                                    ;19626
39406;PARAF. AUTO BROC CAB PHILIPS ?;MIL;1,054;0;       ;47,73;0;43662;E         ;24;ESPIRAL                                           ;49.295.801/0001-10  ;( 011)  3437.6555   ;                    ;dennis@espiralnet.co;10;18;2;                                                    ;19626
